agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,cap60div5,424242,p000,HARD,true,none,7,4,2,413,238,210,47.000,241,7,5
A14,cap60div5,424242,p001,EASY,true,paleo,1,3,1,156,70,20,14.000,3,1,1
A14,cap60div5,424242,p002,EASY,true,kosher,1,4,1,418,418,5,60.000,15,1,1
A14,cap60div5,424242,p003,EASY,true,mediterranean,1,4,1,814,814,5,60.000,21,1,1
A14,cap60div5,424242,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,19.000,5,1,0
A14,cap60div5,424242,p005,HARD,true,keto,7,3,0,33,1,105,5.000,1,0,0
A14,cap60div5,424242,p006,HARD,true,none,1,4,2,516,516,6,60.000,20,1,1
A14,cap60div5,424242,p007,EASY,true,none,1,3,0,728,534,3,60.000,13,1,1
A14,cap60div5,424242,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,5,33.000,2,1,1
A14,cap60div5,424242,p009,EASY,true,keto,1,4,0,22,22,4,5.000,1,1,1
A14,cap60div5,424242,p010,EASY,true,none,1,5,1,620,181,6,36.000,2,1,1
A14,cap60div5,424242,p011,EASY,true,none,1,3,0,659,462,6,60.000,23,1,1
A14,cap60div5,424242,p012,EASY,true,none,1,4,3,910,910,7,60.000,34,1,1
A14,cap60div5,424242,p013,HARD,true,none,1,4,2,281,281,6,56.000,9,1,1
A14,cap60div5,424242,p014,HARD,true,none,1,3,0,325,187,3,37.000,2,1,1
A14,cap60div5,424242,p015,EASY,true,none,1,2,0,642,642,2,60.000,5,1,1
A14,cap60div5,424242,p016,EASY,true,none,1,4,1,910,910,5,60.000,18,1,1
A14,cap60div5,424242,p017,HARD,true,paleo,1,5,1,75,72,30,14.000,4,1,0
A14,cap60div5,424242,p018,EASY,true,carnivore,7,3,1,3,3,140,5.000,0,2,0
A14,cap60div5,424242,p019,HARD,true,keto,1,3,2,17,12,5,5.000,0,1,1
A14,cap60div5,424242,p020,EASY,true,vegetarian,1,2,2,217,129,20,25.000,5,1,1
A14,cap60div5,424242,p021,EASY,true,none,1,4,1,520,520,5,60.000,11,1,1
A14,cap60div5,424242,p022,HARD,true,kosher,7,3,2,345,345,175,60.000,405,7,1
A14,cap60div5,424242,p023,EASY,true,none,7,3,1,910,910,28,60.000,457,7,7
A14,cap60div5,424242,p024,EASY,true,none,1,3,1,910,910,4,60.000,63,1,1
A14,cap60div5,424242,p025,EASY,true,none,1,4,3,343,343,21,60.000,43,1,1
A14,cap60div5,424242,p026,HARD,true,mediterranean,1,4,0,172,172,4,34.000,8,1,1
