agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,flat5,8675309,p000,HARD,true,none,7,4,2,413,238,210,5.000,45,7,5
A14,flat5,8675309,p001,EASY,true,paleo,1,3,1,156,70,20,5.000,2,1,1
A14,flat5,8675309,p002,EASY,true,kosher,1,4,1,418,418,5,5.000,2,1,1
A14,flat5,8675309,p003,EASY,true,mediterranean,1,4,1,814,814,5,5.000,2,1,1
A14,flat5,8675309,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,5.000,2,1,0
A14,flat5,8675309,p005,HARD,true,keto,7,3,0,33,1,105,5.000,1,0,0
A14,flat5,8675309,p006,HARD,true,none,1,4,2,516,516,30,5.000,9,1,1
A14,flat5,8675309,p007,EASY,true,none,1,3,0,728,534,15,5.000,6,1,1
A14,flat5,8675309,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,20,5.000,2,1,1
A14,flat5,8675309,p009,EASY,true,keto,1,4,0,22,22,4,5.000,0,1,1
A14,flat5,8675309,p010,EASY,true,none,1,5,1,620,181,6,5.000,1,1,1
A14,flat5,8675309,p011,EASY,true,none,1,3,0,659,462,6,5.000,2,1,1
A14,flat5,8675309,p012,EASY,true,none,1,4,3,910,910,35,5.000,14,1,0
A14,flat5,8675309,p013,HARD,true,none,1,4,2,281,281,18,5.000,3,1,1
A14,flat5,8675309,p014,HARD,true,none,1,3,0,325,187,3,5.000,1,1,1
A14,flat5,8675309,p015,EASY,true,none,1,2,0,642,642,4,5.000,2,1,1
A14,flat5,8675309,p016,EASY,true,none,1,4,1,910,910,5,5.000,3,1,1
A14,flat5,8675309,p017,HARD,true,paleo,1,5,1,75,72,30,5.000,2,1,0
A14,flat5,8675309,p018,EASY,true,carnivore,7,3,1,3,3,140,5.000,1,2,0
A14,flat5,8675309,p019,HARD,true,keto,1,3,2,17,12,5,5.000,0,1,1
A14,flat5,8675309,p020,EASY,true,vegetarian,1,2,2,217,129,20,5.000,1,1,1
A14,flat5,8675309,p021,EASY,true,none,1,4,1,520,520,10,5.000,3,1,1
A14,flat5,8675309,p022,HARD,true,kosher,7,3,2,345,345,175,5.000,25,7,1
A14,flat5,8675309,p023,EASY,true,none,7,3,1,910,910,140,5.000,74,7,5
A14,flat5,8675309,p024,EASY,true,none,1,3,1,910,910,12,5.000,6,1,1
A14,flat5,8675309,p025,EASY,true,none,1,4,3,343,343,35,5.000,6,1,0
A14,flat5,8675309,p026,HARD,true,mediterranean,1,4,0,172,172,4,5.000,1,1,1
A14,flat5,8675309,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,5.000,2,1,0
A14,flat5,8675309,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,20,5.000,5,1,1
A14,flat5,8675309,p029,EASY,true,none,1,2,1,910,910,9,5.000,14,1,1
A14,flat5,8675309,p030,IMPOSSIBLE,false,vegan,1,3,1,20,17,20,5.000,2,1,0
