agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,flat30,424242,p000,HARD,true,none,7,4,2,413,238,210,30.000,197,7,5
A14,flat30,424242,p001,EASY,true,paleo,1,3,1,156,70,20,30.000,5,1,1
A14,flat30,424242,p002,EASY,true,kosher,1,4,1,418,418,5,30.000,10,1,1
A14,flat30,424242,p003,EASY,true,mediterranean,1,4,1,814,814,5,30.000,16,1,1
A14,flat30,424242,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,30.000,9,1,0
A14,flat30,424242,p005,HARD,true,keto,7,3,0,33,1,105,30.000,1,0,0
A14,flat30,424242,p006,HARD,true,none,1,4,2,516,516,6,30.000,10,1,1
A14,flat30,424242,p007,EASY,true,none,1,3,0,728,534,6,30.000,16,1,1
A14,flat30,424242,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,15,30.000,8,1,1
A14,flat30,424242,p009,EASY,true,keto,1,4,0,22,22,4,30.000,1,1,1
A14,flat30,424242,p010,EASY,true,none,1,5,1,620,181,6,30.000,2,1,1
A14,flat30,424242,p011,EASY,true,none,1,3,0,659,462,15,30.000,35,1,1
A14,flat30,424242,p012,EASY,true,none,1,4,3,910,910,7,30.000,20,1,1
A14,flat30,424242,p013,HARD,true,none,1,4,2,281,281,6,30.000,7,1,1
A14,flat30,424242,p014,HARD,true,none,1,3,0,325,187,3,30.000,3,1,1
A14,flat30,424242,p015,EASY,true,none,1,2,0,642,642,2,30.000,5,1,1
A14,flat30,424242,p016,EASY,true,none,1,4,1,910,910,5,30.000,21,1,1
A14,flat30,424242,p017,HARD,true,paleo,1,5,1,75,72,30,30.000,9,1,0
A14,flat30,424242,p018,EASY,true,carnivore,7,3,1,3,3,140,30.000,2,2,0
A14,flat30,424242,p019,HARD,true,keto,1,3,2,17,12,5,30.000,0,1,1
A14,flat30,424242,p020,EASY,true,vegetarian,1,2,2,217,129,20,30.000,11,1,1
A14,flat30,424242,p021,EASY,true,none,1,4,1,520,520,5,30.000,9,1,1
A14,flat30,424242,p022,HARD,true,kosher,7,3,2,345,345,175,30.000,224,7,1
A14,flat30,424242,p023,EASY,true,none,7,3,1,910,910,28,30.000,127,7,7
A14,flat30,424242,p024,EASY,true,none,1,3,1,910,910,4,30.000,14,1,1
A14,flat30,424242,p025,EASY,true,none,1,4,3,343,343,35,30.000,27,1,1
A14,flat30,424242,p026,HARD,true,mediterranean,1,4,0,172,172,4,30.000,6,1,1
A14,flat30,424242,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,30.000,1,1,0
A14,flat30,424242,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,16,30.000,7,1,1
A14,flat30,424242,p029,EASY,true,none,1,2,1,910,910,3,30.000,9,1,1
A14,flat30,424242,p030,IMPOSSIBLE,false,vegan,1,3,1,20,17,20,30.000,1,1,0
A14,flat30,424242,p031,EASY,true,none,1,5,1,910,910,6,30.000,38,1,1
A14,flat30,424242,p032,EASY,true,none,1,3,1,564,564,4,30.000,13,1,1
A14,flat30,424242,p033,EASY,true,keto,1,4,3,53,50,7,30.000,3,1,1
A14,flat30,424242,p034,HARD,true,kosher,7,2,2,205,205,140,30.000,68,7,5
A14,flat30,424242,p035,EASY,true,mediterranean,1,3,2,532,532,5,30.000,7,1,1
A14,flat30,424242,p036,EASY,true,none,7,3,2,453,365,175,30.000,211,7,1
A14,flat30,424242,p037,HARD,true,none,1,2,1,316,316,3,30.000,2,1,1
A14,flat30,424242,p038,EASY,true,none,1,3,1,426,426,4,30.000,6,1,1
A14,flat30,424242,p039,HARD,true,none,1,3,2,323,123,5,30.000,1,1,1
A14,flat30,424242,p040,HARD,true,none,1,4,2,234,234,30,30.000,36,1,1
A14,flat30,424242,p041,HARD,true,halal,1,4,2,252,110,6,30.000,4,1,1
A14,flat30,424242,p042,ROBUSTNESS,true,none,7,3,2,380,380,105,30.000,141,7,7
A14,flat30,424242,p043,EASY,true,halal,1,4,0,489,273,4,30.000,6,1,1
A14,flat30,424242,p044,EASY,true,none,1,2,0,564,564,2,30.000,11,1,1
A14,flat30,424242,p045,IMPOSSIBLE,false,vegetarian,7,3,3,72,35,210,30.000,26,7,0
A14,flat30,424242,p046,EASY,true,paleo,1,3,0,166,156,3,30.000,2,1,1
A14,flat30,424242,p047,EASY,true,vegan,7,3,2,169,154,175,30.000,78,7,3
A14,flat30,424242,p048,EASY,true,none,1,3,1,910,603,4,30.000,16,1,1
A14,flat30,424242,p049,EASY,true,vegetarian,1,4,2,171,171,30,30.000,22,1,0
A14,flat30,424242,p050,EASY,true,none,1,5,3,301,301,8,30.000,14,1,1
A14,flat30,424242,p051,IMPOSSIBLE,false,vegan,7,3,0,20,20,105,30.000,6,7,0
A14,flat30,424242,p052,EASY,true,mediterranean,7,3,1,298,158,28,30.000,18,7,7
A14,flat30,424242,p053,EASY,true,none,1,3,2,564,564,25,30.000,57,1,1
A14,flat30,424242,p054,EASY,true,vegan,7,5,1,169,169,210,30.000,142,7,6
A14,flat30,424242,p055,EASY,true,none,7,2,1,642,601,21,30.000,40,7,7
A14,flat30,424242,p056,EASY,true,mediterranean,1,4,1,512,512,5,30.000,16,1,1
A14,flat30,424242,p057,HARD,true,none,1,4,0,171,171,4,30.000,2,1,1
A14,flat30,424242,p058,ROBUSTNESS,true,vegetarian,1,2,0,286,286,10,30.000,14,1,1
A14,flat30,424242,p059,IMPOSSIBLE,false,vegan,7,3,2,20,20,175,30.000,4,7,0
A14,flat30,424242,p060,HARD,true,mediterranean,1,4,1,578,234,5,30.000,7,1,1
A14,flat30,424242,p061,EASY,true,none,1,3,0,910,910,6,30.000,49,1,1
A14,flat30,424242,p062,EASY,true,none,1,3,0,910,910,3,30.000,18,1,1
A14,flat30,424242,p063,HARD,true,mediterranean,1,2,1,123,123,9,30.000,5,1,1
A14,flat30,424242,p064,EASY,true,paleo,1,3,1,106,34,20,30.000,3,1,0
A14,flat30,424242,p065,EASY,true,none,1,3,2,629,629,25,30.000,63,1,0
A14,flat30,424242,p066,IMPOSSIBLE,false,kosher,1,3,1,189,98,4,30.000,1,1,1
A14,flat30,424242,p067,EASY,true,keto,7,3,0,53,53,105,30.000,21,7,6
A14,flat30,424242,p068,EASY,true,none,1,4,0,910,910,4,30.000,27,1,1
A14,flat30,424242,p069,EASY,true,none,1,3,2,870,870,5,30.000,16,1,1
A14,flat30,424242,p070,HARD,true,none,7,5,2,273,153,245,30.000,255,7,6
A14,flat30,424242,p071,HARD,true,vegetarian,1,3,0,67,33,15,30.000,2,1,0
A14,flat30,424242,p072,IMPOSSIBLE,false,none,7,4,1,245,117,175,30.000,115,7,6
A14,flat30,424242,p073,IMPOSSIBLE,false,vegan,1,2,1,20,20,15,30.000,1,1,0
A14,flat30,424242,p074,HARD,true,none,1,5,1,442,442,6,30.000,25,1,1
A14,flat30,424242,p075,EASY,true,vegan,1,3,2,169,169,15,30.000,10,1,1
A14,flat30,424242,p076,EASY,true,none,1,3,1,910,910,4,30.000,22,1,1
A14,flat30,424242,p077,IMPOSSIBLE,false,vegan,1,4,3,20,20,35,30.000,1,1,0
A14,flat30,424242,p078,EASY,true,vegetarian,1,5,2,217,217,7,30.000,7,1,1
A14,flat30,424242,p079,HARD,true,keto,1,3,2,35,35,5,30.000,0,1,1
A14,flat30,424242,p080,IMPOSSIBLE,false,none,1,2,1,214,113,3,30.000,3,1,1
A14,flat30,424242,p081,HARD,true,none,1,3,1,218,218,4,30.000,5,1,1
A14,flat30,424242,p082,ROBUSTNESS,true,vegetarian,1,3,1,401,149,4,30.000,2,1,1
A14,flat30,424242,p083,IMPOSSIBLE,false,keto,1,3,0,22,5,3,30.000,0,1,1
