agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,flat5,20260730,p000,HARD,true,none,7,4,2,413,238,210,5.000,54,7,6
A14,flat5,20260730,p001,EASY,true,paleo,1,3,1,156,70,20,5.000,1,1,1
A14,flat5,20260730,p002,EASY,true,kosher,1,4,1,418,418,25,5.000,12,1,1
A14,flat5,20260730,p003,EASY,true,mediterranean,1,4,1,814,814,5,5.000,3,1,1
A14,flat5,20260730,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,5.000,3,1,0
A14,flat5,20260730,p005,HARD,true,keto,7,3,0,33,1,105,5.000,0,0,0
A14,flat5,20260730,p006,HARD,true,none,1,4,2,516,516,30,5.000,13,1,0
A14,flat5,20260730,p007,EASY,true,none,1,3,0,728,534,9,5.000,5,1,1
A14,flat5,20260730,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,10,5.000,1,1,1
A14,flat5,20260730,p009,EASY,true,keto,1,4,0,22,22,4,5.000,1,1,1
A14,flat5,20260730,p010,EASY,true,none,1,5,1,620,181,6,5.000,1,1,1
A14,flat5,20260730,p011,EASY,true,none,1,3,0,659,462,3,5.000,2,1,1
A14,flat5,20260730,p012,EASY,true,none,1,4,3,910,910,35,5.000,19,1,0
A14,flat5,20260730,p013,HARD,true,none,1,4,2,281,281,6,5.000,1,1,1
A14,flat5,20260730,p014,HARD,true,none,1,3,0,325,187,3,5.000,0,1,1
A14,flat5,20260730,p015,EASY,true,none,1,2,0,642,642,8,5.000,5,1,1
A14,flat5,20260730,p016,EASY,true,none,1,4,1,910,910,5,5.000,3,1,1
A14,flat5,20260730,p017,HARD,true,paleo,1,5,1,75,72,30,5.000,3,1,0
A14,flat5,20260730,p018,EASY,true,carnivore,7,3,1,3,3,140,5.000,0,2,0
A14,flat5,20260730,p019,HARD,true,keto,1,3,2,17,12,5,5.000,0,1,1
A14,flat5,20260730,p020,EASY,true,vegetarian,1,2,2,217,129,20,5.000,2,1,1
A14,flat5,20260730,p021,EASY,true,none,1,4,1,520,520,5,5.000,2,1,1
A14,flat5,20260730,p022,HARD,true,kosher,7,3,2,345,345,175,5.000,48,7,1
A14,flat5,20260730,p023,EASY,true,none,7,3,1,910,910,140,5.000,132,7,4
A14,flat5,20260730,p024,EASY,true,none,1,3,1,910,910,4,5.000,4,1,1
A14,flat5,20260730,p025,EASY,true,none,1,4,3,343,343,35,5.000,13,1,0
A14,flat5,20260730,p026,HARD,true,mediterranean,1,4,0,172,172,4,5.000,0,1,1
A14,flat5,20260730,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,5.000,1,1,0
A14,flat5,20260730,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,8,5.000,2,1,1
A14,flat5,20260730,p029,EASY,true,none,1,2,1,910,910,15,5.000,16,1,1
A14,flat5,20260730,p030,IMPOSSIBLE,false,vegan,1,3,1,20,17,20,5.000,1,1,0
A14,flat5,20260730,p031,EASY,true,none,1,5,1,910,910,18,5.000,11,1,1
A14,flat5,20260730,p032,EASY,true,none,1,3,1,564,564,8,5.000,4,1,1
A14,flat5,20260730,p033,EASY,true,keto,1,4,3,53,50,7,5.000,0,1,1
A14,flat5,20260730,p034,HARD,true,kosher,7,2,2,205,205,140,5.000,20,7,5
A14,flat5,20260730,p035,EASY,true,mediterranean,1,3,2,532,532,5,5.000,3,1,1
A14,flat5,20260730,p036,EASY,true,none,7,3,2,453,365,175,5.000,62,7,3
A14,flat5,20260730,p037,HARD,true,none,1,2,1,316,316,3,5.000,1,1,1
A14,flat5,20260730,p038,EASY,true,none,1,3,1,426,426,4,5.000,2,1,1
A14,flat5,20260730,p039,HARD,true,none,1,3,2,323,123,5,5.000,1,1,1
A14,flat5,20260730,p040,HARD,true,none,1,4,2,234,234,30,5.000,9,1,1
A14,flat5,20260730,p041,HARD,true,halal,1,4,2,252,110,6,5.000,1,1,1
A14,flat5,20260730,p042,ROBUSTNESS,true,none,7,3,2,380,380,35,5.000,6,7,7
A14,flat5,20260730,p043,EASY,true,halal,1,4,0,489,273,4,5.000,1,1,1
A14,flat5,20260730,p044,EASY,true,none,1,2,0,564,564,10,5.000,5,1,1
A14,flat5,20260730,p045,IMPOSSIBLE,false,vegetarian,7,3,3,72,35,210,5.000,8,7,0
A14,flat5,20260730,p046,EASY,true,paleo,1,3,0,166,156,3,5.000,1,1,1
A14,flat5,20260730,p047,EASY,true,vegan,7,3,2,169,154,175,5.000,30,7,4
A14,flat5,20260730,p048,EASY,true,none,1,3,1,910,603,8,5.000,7,1,1
A14,flat5,20260730,p049,EASY,true,vegetarian,1,4,2,171,171,30,5.000,3,1,0
A14,flat5,20260730,p050,EASY,true,none,1,5,3,301,301,24,5.000,9,1,1
A14,flat5,20260730,p051,IMPOSSIBLE,false,vegan,7,3,0,20,20,105,5.000,4,7,0
A14,flat5,20260730,p052,EASY,true,mediterranean,7,3,1,298,158,28,5.000,5,7,7
A14,flat5,20260730,p053,EASY,true,none,1,3,2,564,564,25,5.000,10,1,0
A14,flat5,20260730,p054,EASY,true,vegan,7,5,1,169,169,210,5.000,43,7,4
A14,flat5,20260730,p055,EASY,true,none,7,2,1,642,601,84,5.000,35,7,7
A14,flat5,20260730,p056,EASY,true,mediterranean,1,4,1,512,512,10,5.000,4,1,1
A14,flat5,20260730,p057,HARD,true,none,1,4,0,171,171,8,5.000,1,1,1
A14,flat5,20260730,p058,ROBUSTNESS,true,vegetarian,1,2,0,286,286,10,5.000,2,1,0
A14,flat5,20260730,p059,IMPOSSIBLE,false,vegan,7,3,2,20,20,175,5.000,4,7,0
A14,flat5,20260730,p060,HARD,true,mediterranean,1,4,1,578,234,5,5.000,1,1,1
A14,flat5,20260730,p061,EASY,true,none,1,3,0,910,910,15,5.000,10,1,1
A14,flat5,20260730,p062,EASY,true,none,1,3,0,910,910,12,5.000,10,1,1
A14,flat5,20260730,p063,HARD,true,mediterranean,1,2,1,123,123,6,5.000,1,1,1
A14,flat5,20260730,p064,EASY,true,paleo,1,3,1,106,34,20,5.000,1,1,0
A14,flat5,20260730,p065,EASY,true,none,1,3,2,629,629,25,5.000,14,1,1
A14,flat5,20260730,p066,IMPOSSIBLE,false,kosher,1,3,1,189,98,8,5.000,1,1,1
A14,flat5,20260730,p067,EASY,true,keto,7,3,0,53,53,105,5.000,5,7,5
A14,flat5,20260730,p068,EASY,true,none,1,4,0,910,910,16,5.000,11,1,1
A14,flat5,20260730,p069,EASY,true,none,1,3,2,870,870,25,5.000,21,1,1
A14,flat5,20260730,p070,HARD,true,none,7,5,2,273,153,245,5.000,39,7,3
A14,flat5,20260730,p071,HARD,true,vegetarian,1,3,0,67,33,15,5.000,1,1,0
A14,flat5,20260730,p072,IMPOSSIBLE,false,none,7,4,1,245,117,175,5.000,33,7,5
A14,flat5,20260730,p073,IMPOSSIBLE,false,vegan,1,2,1,20,20,15,5.000,0,1,0
A14,flat5,20260730,p074,HARD,true,none,1,5,1,442,442,6,5.000,5,1,1
A14,flat5,20260730,p075,EASY,true,vegan,1,3,2,169,169,25,5.000,2,1,1
A14,flat5,20260730,p076,EASY,true,none,1,3,1,910,910,4,5.000,2,1,1
A14,flat5,20260730,p077,IMPOSSIBLE,false,vegan,1,4,3,20,20,35,5.000,1,1,0
A14,flat5,20260730,p078,EASY,true,vegetarian,1,5,2,217,217,35,5.000,8,1,1
A14,flat5,20260730,p079,HARD,true,keto,1,3,2,35,35,5,5.000,1,1,1
A14,flat5,20260730,p080,IMPOSSIBLE,false,none,1,2,1,214,113,6,5.000,1,1,1
A14,flat5,20260730,p081,HARD,true,none,1,3,1,218,218,8,5.000,1,1,1
A14,flat5,20260730,p082,ROBUSTNESS,true,vegetarian,1,3,1,401,149,16,5.000,3,1,1
A14,flat5,20260730,p083,IMPOSSIBLE,false,keto,1,3,0,22,5,3,5.000,0,1,1
A14,flat5,20260730,p084,HARD,true,none,1,3,0,158,67,3,5.000,0,1,1
A14,flat5,20260730,p085,ROBUSTNESS,true,none,1,2,0,265,251,4,5.000,2,1,1
A14,flat5,20260730,p086,HARD,true,vegetarian,7,5,1,124,67,210,5.000,9,7,0
A14,flat5,20260730,p087,HARD,true,none,1,3,0,255,164,3,5.000,1,1,1
A14,flat5,20260730,p088,IMPOSSIBLE,false,paleo,1,3,0,24,5,15,5.000,1,1,0
A14,flat5,20260730,p089,EASY,true,keto,7,4,1,53,53,175,5.000,16,7,3
A14,flat5,20260730,p090,EASY,true,none,1,2,0,723,250,10,5.000,2,1,0
A14,flat5,20260730,p091,EASY,true,halal,1,3,3,715,715,30,5.000,8,1,1
A14,flat5,20260730,p092,EASY,true,none,1,3,1,749,508,4,5.000,3,1,1
A14,flat5,20260730,p093,ROBUSTNESS,true,none,7,3,2,259,259,175,5.000,51,7,2
A14,flat5,20260730,p094,EASY,true,none,1,2,2,657,657,4,5.000,2,1,1
A14,flat5,20260730,p095,EASY,true,paleo,1,3,1,166,122,20,5.000,2,1,0
A14,flat5,20260730,p096,ROBUSTNESS,true,none,1,9,1,910,910,50,5.000,38,1,0
A14,flat5,20260730,p097,EASY,true,none,1,3,1,272,272,12,5.000,2,1,1
A14,flat5,20260730,p098,EASY,true,vegetarian,1,3,0,174,90,15,5.000,2,1,0
A14,flat5,20260730,p099,EASY,true,none,1,3,2,910,910,25,5.000,19,1,1
A14,flat5,20260730,p100,IMPOSSIBLE,false,mediterranean,1,3,3,212,105,30,5.000,4,1,1
A14,flat5,20260730,p101,ROBUSTNESS,true,none,1,3,1,910,910,16,5.000,16,1,1
A14,flat5,20260730,p102,EASY,true,mediterranean,1,3,1,814,324,4,5.000,1,1,1
A14,flat5,20260730,p103,IMPOSSIBLE,false,keto,1,4,1,19,5,5,5.000,0,1,1
A14,flat5,20260730,p104,EASY,true,keto,7,3,1,36,36,140,5.000,4,7,3
A14,flat5,20260730,p105,EASY,true,kosher,1,3,1,459,241,20,5.000,7,1,0
A14,flat5,20260730,p106,HARD,true,none,1,3,1,408,390,4,5.000,3,1,1
A14,flat5,20260730,p107,EASY,true,none,1,3,0,826,826,3,5.000,4,1,1
A14,flat5,20260730,p108,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,5.000,1,1,0
A14,flat5,20260730,p109,IMPOSSIBLE,false,none,7,3,0,199,102,105,5.000,21,7,4
A14,flat5,20260730,p110,EASY,true,none,1,2,0,871,871,4,5.000,5,1,1
A14,flat5,20260730,p111,EASY,true,carnivore,1,2,0,1,1,10,5.000,1,1,0
A14,flat5,20260730,p112,EASY,true,vegetarian,7,3,1,217,217,140,5.000,31,7,2
A14,flat5,20260730,p113,HARD,true,none,1,4,1,306,139,25,5.000,6,1,0
A14,flat5,20260730,p114,EASY,true,keto,1,4,0,53,53,8,5.000,1,1,1
A14,flat5,20260730,p115,EASY,true,keto,7,3,1,28,4,140,5.000,1,2,2
A14,flat5,20260730,p116,EASY,true,none,1,3,2,752,288,5,5.000,1,1,1
A14,flat5,20260730,p117,HARD,true,none,7,4,1,378,378,175,5.000,53,7,4
A14,flat5,20260730,p118,HARD,true,kosher,7,3,1,259,141,28,5.000,5,7,7
A14,flat5,20260730,p119,EASY,true,none,1,2,1,830,830,15,5.000,14,1,1
A14,flat5,20260730,p120,EASY,true,vegetarian,1,5,1,85,85,30,5.000,3,1,1
A14,flat5,20260730,p121,EASY,true,mediterranean,1,4,1,814,736,10,5.000,6,1,1
A14,flat5,20260730,p122,EASY,true,mediterranean,7,3,2,814,814,175,5.000,100,7,6
A14,flat5,20260730,p123,EASY,true,none,1,3,1,687,687,4,5.000,3,1,1
A14,flat5,20260730,p124,EASY,true,none,7,4,1,910,910,175,5.000,216,7,5
A14,flat5,20260730,p125,ROBUSTNESS,true,none,1,9,2,296,296,55,5.000,26,1,0
A14,flat5,20260730,p126,HARD,true,none,1,3,2,532,532,10,5.000,5,1,1
A14,flat5,20260730,p127,HARD,true,vegetarian,1,3,1,304,110,20,5.000,2,1,0
A14,flat5,20260730,p128,EASY,true,mediterranean,7,2,2,774,323,140,5.000,20,7,5
A14,flat5,20260730,p129,EASY,true,none,7,4,1,360,288,35,5.000,15,7,7
A14,flat5,20260730,p130,IMPOSSIBLE,false,vegan,7,4,2,20,20,210,5.000,2,7,0
A14,flat5,20260730,p131,EASY,true,none,1,4,2,910,910,6,5.000,3,1,1
A14,flat5,20260730,p132,EASY,true,none,1,3,2,642,642,25,5.000,13,1,0
A14,flat5,20260730,p133,IMPOSSIBLE,false,vegan,1,3,2,20,20,25,5.000,0,1,0
A14,flat5,20260730,p134,EASY,true,none,1,3,2,728,728,10,5.000,4,1,1
A14,flat5,20260730,p135,EASY,true,vegetarian,7,5,1,327,117,84,5.000,9,7,7
A14,flat5,20260730,p136,EASY,true,none,7,3,2,741,741,70,5.000,26,7,7
A14,flat5,20260730,p137,EASY,true,none,1,4,2,910,910,12,5.000,6,1,1
A14,flat5,20260730,p138,HARD,true,none,7,3,0,285,285,42,5.000,12,7,7
A14,flat5,20260730,p139,HARD,true,vegan,1,4,1,89,89,25,5.000,3,1,1
A14,flat5,20260730,p140,EASY,true,mediterranean,7,3,0,814,814,105,5.000,71,7,4
A14,flat5,20260730,p141,EASY,true,vegetarian,1,3,2,401,401,25,5.000,4,1,0
A14,flat5,20260730,p142,EASY,true,none,1,2,0,401,401,2,5.000,1,1,1
A14,flat5,20260730,p143,EASY,true,vegetarian,7,4,1,327,84,35,5.000,4,7,7
A14,flat5,20260730,p144,EASY,true,kosher,1,3,2,680,317,20,5.000,3,1,1
A14,flat5,20260730,p145,HARD,true,vegan,1,3,1,46,44,20,5.000,1,1,0
A14,flat5,20260730,p146,HARD,true,none,1,5,3,306,116,8,5.000,1,1,1
A14,flat5,20260730,p147,EASY,true,none,7,3,1,605,605,140,5.000,74,7,6
A14,flat5,20260730,p148,EASY,true,none,1,5,0,426,160,5,5.000,1,1,1
A14,flat5,20260730,p149,HARD,true,keto,1,2,1,37,5,3,5.000,0,1,1
A14,flat5,20260730,p150,EASY,true,mediterranean,1,3,2,814,814,25,5.000,11,1,1
