recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2tqu703v2wlwsc8aoy4oy,"Coconut Natilla Recipe",meal,376.43,7.41,12.73,58.91,3.38,1.97,15.65,0.3043
cmrj2tqxg03vrwlws0hsnpre3,"Coconut quindim",meal,332.48,10.38,24.56,17.25,7.39,3.12,5.19,0.6649
cmrj2tqze03w4wlwsql3hlv9u,"Cornes de Gazelle (Gazelle Horns)",meal,592.55,13.23,38.49,52.9,6.49,2.23,8.93,0.5845
cmrj2tr2q03wvwlwscotf81i4,"Crema Catalana",meal,407.89,9.53,22.69,42.03,5.56,2.34,10.31,0.5007
cmrj2tr5503xewlwsswtpdp15,"Date squares",meal,661.36,5.81,24.79,93.06,3.75,0.88,14.07,0.3374
cmrj2tr7i03xxwlws68dp589q,"Dulce de Leche",meal,230.5,4.1,4.4,43.6,1.91,1.78,18.92,0.1718
cmrj2tr8p03y6wlwso36ri1c4,"Dundee cake",meal,749.14,13.44,33.89,105.74,4.52,1.79,14.11,0.4071
cmrj2trc603yzwlwssk37utfg,"Dutch Apple Pie",meal,819.31,16.8,33.59,115.02,4.1,2.05,14.04,0.3689
cmrj2trek03ziwlws8ocfe4fx,"Dutch doughnuts",meal,283.08,9.18,3.08,54.79,1.09,3.24,19.35,0.098
cmrj2trg103ztwlwsbm24cite,"Dutch Spiced Breakfast Cake (Ontbijtkoek)",meal,450.7,4.17,1.52,105.6,0.34,0.93,23.43,0.0303
cmrj2tri7040awlwskuzbs4ws,"Dutch stroopwafel",meal,423.89,4.86,21.5,54.21,5.07,1.15,12.79,0.4565
cmrj2trl2040xwlwsals6xgo3,"Dziriat (Algerian Almond Tarts)",meal,944.19,23.4,52.53,103.04,5.56,2.48,10.91,0.5007
cmrj2trpq0420wlwsxh4th4vo,"Eccles Cakes",meal,595.17,6.98,29.29,80.08,4.92,1.17,13.45,0.4429
cmrj2trum0434wlwsowhvddjt,"Eton Mess",meal,354.2,2.26,27.89,25.03,7.87,0.64,7.07,0.7087
cmrj2trw4043fwlws9fpo9zau,"Figgy Duff",meal,319.37,5.45,0.96,74.99,0.3,1.71,23.48,0.0272
cmrj2tryo0440wlwsbmixg1k0,"Flan",meal,198.37,6.97,9.32,21.26,4.7,3.51,10.72,0.4231
cmrj2ts0n044fwlwsabklkl8q,"Flapper Pie",meal,419.64,10.94,10.84,68.95,2.58,2.61,16.43,0.2324
cmrj2ts450456wlwsrxwqkboh,"Gevulde speculaas",meal,586.36,12.56,28.83,71.72,4.92,2.14,12.23,0.4425
cmrj2ts6q045rwlws9yro0gbj,"Grape Nut Ice Cream",meal,284.6,3.7,22.1,19.8,7.77,1.3,6.96,0.6989
cmrj2ts9p046dwlws2g29366d,"Jam jam cookies",meal,707.4,8.02,24.65,115.15,3.48,1.13,16.28,0.3136
cmrj2tsev047hwlws9m44d8m6,"Jamaican Banana Fritters",meal,228.83,2.21,12.92,27.42,5.65,0.97,11.98,0.5083
cmrj2tsgu047ywlws8mfa0xhp,"Jamaican Spice Bun Recipe",meal,457.77,7.05,7.61,91.51,1.66,1.54,19.99,0.1495
cmrj2tskw048vwlws6c979ts2,"Jamaican Sweet Potato Pudding",meal,297.37,4.27,2.36,68.78,0.79,1.43,23.13,0.0714
cmrj2tsok049qwlws58tr2vl3,"Key Lime Pie",meal,717.23,10.76,49.19,60.63,6.86,1.5,8.45,0.6173
cmrj2tsql04a7wlwstnl3x9li,"Krispy Kreme Donut",meal,1175.79,9.34,69.1,115.3,5.88,0.79,9.81,0.529
cmrj2tsuf04b0wlws4km0tg21,"Kurabie Butter Cookies",meal,518.13,18,4.45,101.02,0.86,3.47,19.5,0.0772
cmrj2tswt04bjwlws0llt6448,"Kvæfjord Cake “Verdens Beste” (World’s Best Cake)",meal,970.15,19.47,50.69,112.93,5.22,2.01,11.64,0.4702
cmrj2tt0w04cgwlws0lieixmo,"Lamingtons",meal,1266.18,11.28,69.9,157.73,5.52,0.89,12.46,0.4969
cmrj2tt4c04d9wlws5ip65b66,"Laos Plantain Coconut Bake (Flourless Muffin)",meal,289.3,1.2,9.4,51.2,3.25,0.41,17.7,0.2924
cmrj2tt5a04dgwlws7zwew833,"Leche Asada",meal,164.28,7.22,6.57,19.3,4,4.4,11.75,0.36
cmrj2tt8z04drwlws6tnzlj6j,"Madeira Cake",meal,388.41,5.99,20.03,46.39,5.16,1.54,11.94,0.4642
cmrj2ttaz04e6wlwsunvgcp90,"Magwinya: Doughnut Bites from Botswana",meal,699.72,4.32,55.96,44.82,8,0.62,6.41,0.7198
cmrj2ttd604enwlwspik9q33n,"Mamoul (Eid biscuits)",meal,512.56,7.74,29.5,55,5.76,1.51,10.73,0.518
cmrj2tteu04f0wlwsb0k8ifqm,"Manjar (Dulce de Leche)",meal,175.6,3.9,4.1,30.8,2.33,2.22,17.54,0.2101
cmrj2ttg204f9wlwswcie143u,"Mazariner – Scandinavian Almond Tartlets",meal,1033.39,19.62,51.5,128.57,4.98,1.9,12.44,0.4486
cmrj2ttjg04g2wlws423j4jxe,"Mini bundt cakes",meal,312.9,5.13,17.5,34.37,5.59,1.64,10.98,0.5034
cmrj2ttlg04gjwlws0alhw5e3,"New York cheesecake",meal,780.14,11.37,62.38,46.21,8,1.46,5.92,0.7196
cmrj2ttos04h8wlwsk0bezz5l,"No-Churn Rum Raisin Ice Cream",meal,855.63,15.68,36.64,115.89,4.28,1.83,13.54,0.3854
cmrj2ttra04hrwlwssq8mm45k,"Norwegian Krumkake",meal,310.64,4.71,17.5,34.22,5.63,1.52,11.02,0.507
cmrj2tttg04i8wlwsw18p7uhe,"Pancakes",meal,263.54,4.39,15.26,27.5,5.79,1.67,10.44,0.521
cmrj2ttvg04inwlwsilkxsq11,"Parkin Cake",meal,483.98,6.34,22.05,68.01,4.56,1.31,14.05,0.41
cmrj2ttzb04jjwlwsmvic1tlt,"Peach & Blueberry Grunt",meal,444.9,6.92,15.44,71.27,3.47,1.56,16.02,0.3124
cmrj2tu8b04lkwlws9hpdtjpq,"Polish chocolate & walnut cake",meal,708.84,17.59,35.53,84.91,5.01,2.48,11.98,0.4511
cmrj2tuf704n8wlwsbb0wf7fm,"Polskie Nalesniki (Polish Pancakes)",meal,134.03,4.31,6.74,14.16,5.03,3.21,10.57,0.4529
cmrj2tujv04ocwlwsnwbd1bzz,"Postre Chajá",meal,583.9,9.56,29.08,72.04,4.98,1.64,12.34,0.4482
cmrj2tund04p5wlws3p1l8tqz,"Pouding chomeur",meal,823.25,12.15,25.59,139.39,3.11,1.48,16.93,0.2798
cmrj2tuqc04pswlwsvaxptg1h,"Pumpkin Pie",meal,410.31,7.04,12.92,68.04,3.15,1.72,16.58,0.2835
cmrj2tuuf04qqwlws06vrb4i5,"Rock Cakes",meal,317.45,4.2,13.7,45.32,4.32,1.32,14.28,0.3885
cmrj2tuxq04riwlws5bgurt23,"Rogaliki (Polish Croissant Cookies)",meal,569.57,10.14,38.41,47.22,6.74,1.78,8.29,0.6069
cmrj2tuza04rvwlwsh91g5jh4,"Salted Caramel Cheescake",meal,878.75,10.25,62.4,71.16,7.1,1.17,8.1,0.639
cmrj2tv2704skwlwsnbqs28ev,"Saskatoon Pie",meal,1211.65,25.48,54.5,161.6,4.5,2.1,13.34,0.4048
cmrj2tv5l04tdwlwskn5u8ah4,"Seri muka kuih",meal,404.5,7,6.93,77.63,1.71,1.73,19.19,0.1542
cmrj2tv7w04twwlwslob6a4ho,"Shendetlie Honey and Nut Cake",meal,807.47,17.05,12.33,159.24,1.53,2.11,19.72,0.1375
cmrj2tvcr04uywlws8fb4wppz,"Sticky Toffee Pudding",meal,708.31,6.58,47.14,64.75,6.66,0.93,9.14,0.599
cmrj2tvge04vrwlws9h49ui3j,"Sticky Toffee Pudding Ultimate",meal,625.1,5.75,30.64,83.81,4.9,0.92,13.41,0.4412
cmrj2tvk904wmwlwsg753dnzd,"Strawberries Romanoff",meal,144.35,1.69,8.33,16.76,5.77,1.17,11.61,0.5197
cmrj2tvlg04wxwlwsyqn2f1q1,"Strawberry Rhubarb Pie",meal,570.84,6.08,27.04,77.97,4.74,1.06,13.66,0.4263
cmrj2tvor04xqwlwsmdeswntb,"Sugar Pie",meal,391.39,4.59,13.01,65.97,3.33,1.17,16.86,0.2993
cmrj2tvql04y5wlwst471vwev,"Suksessterte (Norwegian almond “success cake”)",meal,726.48,17.98,44.79,68.25,6.17,2.47,9.4,0.5549
cmrj2tvt404yqwlwseb5f05h0,"Šúĺlance s Makom",meal,486.31,10.96,18.69,71.16,3.84,2.25,14.63,0.3459
cmrj2tvuy04z5wlws14f9crun,"Summer Pudding",meal,221.41,3.85,1.25,50.36,0.56,1.74,22.75,0.0508
cmrj2tvwu04ziwlwscrm1en51,"Tall Skoleboller",meal,1212.16,11.28,70.69,138.84,5.83,0.93,11.45,0.5249
cmrj2tw0u050dwlws88qxazsn,"Tarte Tatin",meal,777.52,14.66,37.39,96.88,4.81,1.89,12.46,0.4328
cmrj2tw2l050qwlws0wnhm0p9,"Timbits",meal,321.66,4.59,19.11,33.68,5.94,1.43,10.47,0.5346
cmrj2tw510519wlws77rfjkzw,"Traditional Dutch rice tart (rijstevlaai)",meal,558.65,13.59,23.19,84.97,4.15,2.43,15.21,0.3737
cmrj2tw8i0522wlws8hwgqat7,"Tunisian Orange Cake",meal,401.8,7.11,11.55,67.01,2.87,1.77,16.68,0.2587
cmrj2twae052hwlwsbfzlw6a0,"Vanilla alfajores",meal,484.63,6.31,19.33,71.26,3.99,1.3,14.7,0.359
cmrj2twgb053xwlwsbolyc4pp,"Walnut, date & honey cake",meal,450.65,6.08,23.37,57.14,5.19,1.35,12.68,0.4668
cmrj2twim054gwlws2lkf4dtg,"White chocolate creme brulee",meal,575.66,7.92,48.52,26.36,8.43,1.38,4.58,0.7586
cmrj2twk4054twlwssv0bfew9,"Zeeuwse bolussen",meal,452.54,7.91,10.04,84.75,2.22,1.75,18.73,0.1996
