recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2tpm903l6wlwsupbaxsio,"Cashew Ghoriba Biscuits",meal,378.81,10.05,22.03,39.37,5.82,2.65,10.39,0.5234
cmrj2tpo103ljwlwsdo7my366,"Cassava Cake",meal,413.76,1.75,1.41,100.55,0.34,0.42,24.3,0.0306
cmrj2tpt803mnwlwszfrregaq,"Chinon Apple Tarts",meal,590.2,12.28,25.3,85.17,4.29,2.08,14.43,0.3858
cmrj2tq1c03oiwlws9teuz86r,"Chocolate Avocado Mousse",meal,118.39,1.18,2.37,27.15,2,0.99,22.93,0.1801
cmrj2tqxg03vrwlws0hsnpre3,"Coconut quindim",meal,332.48,10.38,24.56,17.25,7.39,3.12,5.19,0.6649
cmrj2tt4c04d9wlws5ip65b66,"Laos Plantain Coconut Bake (Flourless Muffin)",meal,289.3,1.2,9.4,51.2,3.25,0.41,17.7,0.2924
cmrj2twn0055gwlwshb3y6i3d,"Chilli ginger lamb chops",meal,852.51,31.7,77.86,7.28,9.13,3.72,0.85,0.822
cmrj2tx2k058wwlwsds8g2gmc,"Keleya Zaara",meal,531.5,38.91,39.95,5.17,7.52,7.32,0.97,0.6765
cmrj2txrn05ehwlws0ep583db,"Leg of Lamb Armenian-Style",meal,432.9,9.62,31.39,27.49,7.25,2.22,6.35,0.6525
cmrj2ty3e05h5wlwspy29asni,"Slow-roast lamb with cinnamon, fennel & citrus",meal,236.71,5.95,18.3,14.08,7.73,2.51,5.95,0.6958
cmrj2tyk505l1wlwsnyxhfnyj,"Vietnamese lamb shanks with sweet potatoes",meal,1195.13,93.98,63.31,83.81,5.3,7.86,7.01,0.4767
cmrj2tyok05m2wlwst1uh8vwt,"Achiote Oil (Aceite Achiotado) Recipe",meal,996.8,0.5,109.2,3,10.96,0.05,0.3,0.986
cmrj2typc05m7wlwsqa6gdqwk,"Ají de Aguacate Recipe (Colombian Spicy Avocado Sauce)",meal,129.59,3.91,8.69,11.84,6.71,3.02,9.13,0.6037
cmrj2tysy05mzwlwsfuqbx4oq,"Callaloo Jamaican Style",meal,212.09,6.97,5.72,38.91,2.7,3.29,18.35,0.2426
cmrj2tyyl05o7wlwshgqgnw1e,"Clear Soup with Semolina Dumplings",meal,287.1,11.27,15.37,26.63,5.35,3.92,9.28,0.4819
cmrj2tz0q05oowlwsip3w8e0p,"Duck Confit",meal,250.16,27.46,11.56,3.55,4.62,10.98,1.42,0.416
cmrj2tz4r05pkwlwsrqg7qtgt,"French Omelette",meal,368.15,26.37,16.6,40.69,4.51,7.16,11.05,0.4057
cmrj2tzd105rewlwseisstowa,"Muraba-E-Kadu (Pumpkin Jam)",meal,981,6.4,2.1,242.8,0.21,0.65,24.75,0.0193
cmrj2u0sx0631wlwsx84zyil7,"Syrian Spaghetti",meal,351.56,10.38,23.67,25.44,6.73,2.95,7.24,0.6058
cmrj2u11d064bwlws86zw6hgb," Bubble & Squeak",meal,431.72,27.66,12.05,66.76,2.79,6.41,15.46,0.2511
cmrj2u24h06d7wlwslg45in8o,"Chorizo & tomato salad",meal,576.71,7.17,57.64,11.89,10,1.24,2.06,0.8996
cmrj2u27w06dxwlwspgv7jpbx,"Chuletas de Cerdo a la Criolla (Pork Chops in Creole Sauce)",meal,254.42,25.49,14.05,8.31,5.52,10.02,3.27,0.497
cmrj2u2aq06eiwlwszzm0k2rw,"Coddled pork with cider",meal,428.51,20.02,29.71,20.37,6.93,4.67,4.75,0.6241
cmrj2u2dd06f3wlwsrtg5hbhy,"Crispy Sausages and Greens",meal,533.91,28.89,36.44,29.12,6.83,5.41,5.45,0.6143
cmrj2u2fp06fmwlwszoslo5nm,"Flemish Hutsepot",meal,868.19,38.63,30.27,120.19,3.49,4.45,13.84,0.3138
cmrj2u32q06kxwlwsmmieili0,"Portuguese barbecued pork (Febras assadas)",meal,632.24,19.34,34.59,54.44,5.47,3.06,8.61,0.4924
cmrj2u38k06m9wlwsdfloae1i,"Rosemary braised red cabbage with kabanos",meal,909.59,20.03,64.43,64.86,7.08,2.2,7.13,0.6375
cmrj2u3bg06muwlwsgac7ps12,"Skillet Apple Pork Chops with Roasted Sweet Potatoes & Zucchini",meal,386.6,20.32,17.98,37.03,4.65,5.26,9.58,0.4185
cmrj2u3e906nfwlwss1w9k9rm,"Slow-cooked, Wadadli-spiced Cubano pork belly",meal,476.15,3.91,42.15,26.7,8.85,0.82,5.61,0.7967
cmrj2u3i806oawlwsrvqxe0y5,"Slow-roasted ham with lemon, garlic & sage",meal,856.37,113.29,28.66,7.24,3.35,13.23,0.85,0.3012
